#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,118,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,57,external,light,1658933320119
,,119,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,50,external,light,1658933369172
,,120,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,49,external,light,1658933436059
,,121,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,49,external,light,1658933467126
,,122,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,47,external,light,1658933498198
,,123,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,47,external,light,1658933529285
,,124,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,47,external,light,1658933560441
,,125,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,41,external,light,1658933591524
,,126,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,46,external,light,1658933622561
,,127,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,48,external,light,1658933671620
,,128,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,48,external,light,1658933720652
,,129,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,48,external,light,1658933751698
,,130,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,54,external,light,1658933808567
,,131,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,48,external,light,1658933833612
,,132,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,48,external,light,1658933914855
,,133,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,43,external,light,1658933987145
,,134,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,49,external,light,1658934012197
,,135,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,50,external,light,1658934037250
,,136,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,52,external,light,1658934062305
,,137,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,51,external,light,1658934087334
,,138,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,54,external,light,1658934112378
,,139,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,56,external,light,1658934223512
,,140,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,56,external,light,1658934248590
,,141,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658934317691
,,142,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,52,external,light,1658934342752
,,143,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,51,external,light,1658934367788
,,144,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658934392832
,,145,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,54,external,light,1658934441886
,,146,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,56,external,light,1658934466939
,,147,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,55,external,light,1658934521978
,,148,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,55,external,light,1658934547060
,,149,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,54,external,light,1658934572117
,,150,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,54,external,light,1658934597187
,,151,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,54,external,light,1658934622228
,,152,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658934647303
,,153,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658934672324
,,154,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658934698928
,,155,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,55,external,light,1658934722425
,,156,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,56,external,light,1658934821235
,,157,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,52,external,light,1658934852299
,,158,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,51,external,light,1658934877348
,,159,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,45,external,light,1658934956989
,,160,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658935006054
,,161,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658935031136
,,162,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,41,external,light,1658935056169
,,163,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,43,external,light,1658935093221
,,164,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,42,external,light,1658935142302
,,165,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,43,external,light,1658935267876
,,166,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658935306545
,,167,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658935331585
,,168,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658935362646
,,169,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,36,external,light,1658935393687
,,170,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,53,external,light,1658935418754
,,171,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,55,external,light,1658935443789
,,172,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,72,external,light,1658935639537
,,173,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,71,external,light,1658935676608
,,174,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,71,external,light,1658935811223
,,175,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,70,external,light,1658935869105
,,176,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,42,external,light,1658936334092
,,177,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,35,external,light,1658936391968
,,178,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,39,external,light,1658936608952
,,179,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,42,external,light,1658936639044
,,180,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,40,external,light,1658936679316
,,181,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,45,external,light,1658936797282
,,182,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,41,external,light,1658937329744
,,183,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,41,external,light,1658937376617
,,184,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T16:00:00Z,45,external,light,1658937417787
,,185,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,43,external,light,1658937760175
,,186,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,41,external,light,1658937912556
,,187,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,41,external,light,1658937949622
,,188,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,40,external,light,1658938120323
,,189,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,40,external,light,1658938151359
,,190,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,40,external,light,1658938176404
,,191,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,39,external,light,1658938262397
,,192,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T17:00:00Z,44,external,light,1658938287465
