#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,131,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,114,internal,light,1658930814037
,,132,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,63,external,light,1658930820044
,,133,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,113,internal,light,1658930839109
,,134,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,64,external,light,1658930845117
,,135,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,115,internal,light,1658930864163
,,136,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,61,external,light,1658930870171
,,137,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,113,internal,light,1658930895236
,,138,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,60,external,light,1658930901215
,,139,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,114,internal,light,1658930920287
,,140,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,62,external,light,1658930926285
,,141,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,114,internal,light,1658930945343
,,142,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,63,external,light,1658930951332

